216.212.255.160.17197 > 177.2.57.118.6881: length=710, pkts=15, dt=31.207
24.9.8.41.47337 > 177.2.57.118.6881: length=1299, pkts=17, dt=6.323
187.163.80.164.58422 > 177.2.57.118.6881: length=951, pkts=17, dt=30.728
181.28.91.142.60270 > 177.2.57.118.6881: length=1360, pkts=19, dt=29.926
173.239.240.76.49998 > 177.2.57.118.6881: length=2650, pkts=21, dt=3.686
179.222.85.222.57565 > 177.2.57.118.6881: length=2120, pkts=19, dt=30.223
177.2.57.118.57647 > 49.187.47.205.8999: length=2317, pkts=14, dt=7.768
177.2.57.118.37234 > 34.203.130.163.443: length=5282, pkts=22, dt=31.407
177.2.57.118.57391 > 90.148.160.102.8143: length=68, pkts=5, dt=18.495
177.2.57.118.33710 > 41.150.61.226.18879: length=630, pkts=12, dt=10.429
177.2.57.118.60538 > 121.45.246.51.35885: length=435, pkts=17, dt=7.993
177.2.57.118.36674 > 76.69.249.239.13336: length=68, pkts=5, dt=21.243
177.2.57.118.56566 > 90.207.15.25.8999: length=2516, pkts=18, dt=7.328
177.2.57.118.44411 > 80.177.208.237.51413: length=282, pkts=5, dt=29.996
177.2.57.118.56116 > 189.172.12.122.26394: length=136, pkts=6, dt=28.076
177.2.57.118.46872 > 200.8.1.246.18604: length=136, pkts=8, dt=20.679
90.89.187.189.53984 > 177.2.57.118.6881: length=1325, pkts=20, dt=31.986
196.54.41.56.53676 > 177.2.57.118.6881: length=421, pkts=11, dt=2.044
177.2.57.118.59833 > 2.85.242.131.26539: length=1595, pkts=16, dt=6.392
177.2.57.118.43939 > 69.143.158.60.47160: length=68, pkts=6, dt=13.111
177.2.57.118.42898 > 73.223.94.67.62898: length=68, pkts=4, dt=0.248
201.68.124.11.55947 > 177.2.57.118.6881: length=1278, pkts=17, dt=5.724
78.95.163.152.2772 > 177.2.57.118.6881: length=680, pkts=10, dt=20.009
85.27.41.140.60704 > 177.2.57.118.6881: length=2138, pkts=19, dt=30.232
81.66.62.216.61843 > 177.2.57.118.6881: length=1299, pkts=17, dt=30.675
177.2.57.118.48632 > 98.136.96.145.443: length=12551, pkts=43, dt=29.787
110.54.236.213.35600 > 177.2.57.118.6881: length=539, pkts=10, dt=2.267
73.152.101.85.58987 > 177.2.57.118.6881: length=477, pkts=9, dt=19.879
177.2.57.118.54895 > 196.210.14.69.33586: length=68, pkts=7, dt=25.906
196.249.98.36.26083 > 177.2.57.118.6881: length=0, pkts=3, dt=30.475
177.2.57.118.33730 > 24.246.62.241.26819: length=1917, pkts=11, dt=3.051
177.2.57.118.37363 > 78.1.13.234.40550: length=910, pkts=12, dt=4.363
191.254.218.230.64154 > 177.2.57.118.6881: length=747, pkts=14, dt=5.798
51.179.104.24.18971 > 177.2.57.118.6881: length=2625, pkts=24, dt=11.577
177.2.57.118.37762 > 86.6.58.59.45218: length=1747, pkts=14, dt=3.305
177.2.57.118.33825 > 108.21.214.240.53274: length=136, pkts=6, dt=27.217
177.2.57.118.42002 > 196.209.216.236.25247: length=1402, pkts=13, dt=4.957
41.222.180.166.41495 > 177.2.57.118.6881: length=0, pkts=3, dt=30.497
177.2.57.118.41342 > 58.104.163.25.51915: length=819, pkts=16, dt=3.343
177.2.57.118.37344 > 181.31.129.131.51413: length=68, pkts=5, dt=27.105
89.210.224.119.52037 > 177.2.57.118.6881: length=771, pkts=12, dt=2.025
177.2.57.118.54559 > 89.210.17.211.30115: length=911, pkts=11, dt=2.574
177.2.57.118.48120 > 213.146.62.197.15664: length=976, pkts=10, dt=2.299
189.100.103.207.57093 > 177.2.57.118.6881: length=1624, pkts=19, dt=29.772
177.2.57.118.43098 > 216.58.202.14.80: length=998, pkts=7, dt=0.175
177.2.57.118.34876 > 216.58.202.3.80: length=1580, pkts=7, dt=0.144
177.2.57.118.55567 > 110.23.203.244.38855: length=510, pkts=9, dt=1.412
177.2.57.118.60459 > 24.48.59.231.17603: length=851, pkts=9, dt=1.199
177.2.57.118.53278 > 95.146.97.243.30178: length=1280, pkts=13, dt=1.354
24.9.8.41.45726 > 177.2.57.118.6881: length=1280, pkts=14, dt=6.643
201.17.17.84.17591 > 177.2.57.118.6881: length=1292, pkts=21, dt=31.594
173.239.230.34.47110 > 177.2.57.118.6881: length=621, pkts=15, dt=3.546
177.2.57.118.44520 > 188.218.110.132.43611: length=136, pkts=7, dt=27.655
177.2.57.118.54740 > 45.74.161.136.58768: length=68, pkts=4, dt=0.302
154.118.72.164.52174 > 177.2.57.118.6881: length=1732, pkts=17, dt=30.324
177.2.57.118.56014 > 162.220.63.162.443: length=16337, pkts=89, dt=29.212
177.2.57.118.50190 > 190.194.238.127.39436: length=68, pkts=4, dt=0.259
82.61.47.12.52549 > 177.2.57.118.6881: length=1977, pkts=19, dt=6.992
177.2.57.118.45571 > 89.154.202.73.62205: length=251, pkts=9, dt=29.999
75.136.9.127.55184 > 177.2.57.118.6881: length=771, pkts=11, dt=1.643
197.215.249.45.12317 > 177.2.57.118.6881: length=68, pkts=5, dt=0.727
177.2.57.118.50368 > 84.94.203.193.24250: length=1969, pkts=14, dt=34.082
90.44.4.232.58409 > 177.2.57.118.6881: length=998, pkts=14, dt=30.168
89.3.235.254.53042 > 177.2.57.118.6881: length=1718, pkts=18, dt=30.696
177.2.57.118.49912 > 74.64.117.153.26450: length=68, pkts=4, dt=0.318
51.39.228.224.1533 > 177.2.57.118.6881: length=771, pkts=11, dt=3.741
90.90.29.45.43729 > 177.2.57.118.6881: length=1269, pkts=11, dt=1.936
193.77.187.76.61532 > 177.2.57.118.6881: length=1273, pkts=15, dt=29.944
177.2.57.118.39050 > 162.220.63.164.443: length=4375, pkts=39, dt=19.864
83.136.43.45.55030 > 177.2.57.118.6881: length=1624, pkts=18, dt=30.166
177.2.57.118.59972 > 109.159.48.245.37480: length=136, pkts=7, dt=20.797
99.248.188.109.59685 > 177.2.57.118.6881: length=2129, pkts=19, dt=2.859
177.2.57.118.58326 > 115.98.201.11.18754: length=238, pkts=6, dt=29.995
24.9.8.41.35205 > 177.2.57.118.6881: length=1689, pkts=15, dt=6.237
177.2.57.118.53662 > 200.8.1.246.18604: length=1777, pkts=10, dt=9.314
192.114.43.2.54028 > 177.2.57.118.6881: length=136, pkts=6, dt=1.452
94.165.232.76.2597 > 177.2.57.118.6881: length=3119, pkts=131, dt=39.403
177.2.57.118.34872 > 216.58.202.3.80: length=1580, pkts=7, dt=0.140
177.2.57.118.43094 > 216.58.202.14.80: length=998, pkts=7, dt=0.123
187.64.31.135.49377 > 177.2.57.118.6881: length=1893, pkts=19, dt=29.892
177.2.57.118.40356 > 196.215.28.66.8999: length=1983, pkts=17, dt=29.999
177.2.57.118.33719 > 90.148.160.102.8143: length=977, pkts=12, dt=11.499
177.2.57.118.33444 > 80.177.208.237.51413: length=761, pkts=10, dt=25.351
93.108.53.227.50818 > 177.2.57.118.6881: length=998, pkts=17, dt=30.366
177.2.57.118.45740 > 181.28.220.152.39629: length=2747, pkts=20, dt=23.619
177.2.57.118.39916 > 101.188.12.13.6890: length=2260, pkts=18, dt=9.108
177.2.57.118.60764 > 197.89.115.113.27879: length=136, pkts=7, dt=15.506
177.2.57.118.56492 > 94.174.208.14.40039: length=863, pkts=7, dt=1.1000
89.3.117.175.56471 > 177.2.57.118.6881: length=710, pkts=14, dt=30.583
88.98.211.231.41547 > 177.2.57.118.6881: length=1297, pkts=19, dt=30.712
82.61.47.12.51731 > 177.2.57.118.6881: length=1313, pkts=17, dt=6.543
177.2.57.118.52019 > 76.69.249.239.13336: length=1001, pkts=11, dt=8.750
177.2.57.118.38353 > 89.141.203.193.26085: length=68, pkts=6, dt=24.861
177.2.57.118.40825 > 94.174.208.14.40039: length=294, pkts=7, dt=7.816
177.2.57.118.58511 > 51.37.241.162.19098: length=68, pkts=5, dt=27.379
177.2.57.118.45737 > 139.192.110.8.36301: length=68, pkts=5, dt=27.480
177.2.57.118.38184 > 54.232.254.220.443: length=453, pkts=11, dt=6.829
109.150.186.92.64551 > 177.2.57.118.6881: length=715, pkts=16, dt=29.923
177.2.57.118.40305 > 72.180.33.71.13500: length=68, pkts=4, dt=0.277
24.9.8.41.34682 > 177.2.57.118.6881: length=1762, pkts=16, dt=6.530
197.83.240.106.53047 > 177.2.57.118.6881: length=515, pkts=10, dt=2.356
177.2.57.118.53278 > 185.184.10.30.443: length=5251, pkts=16, dt=8.048
47.19.79.140.37954 > 177.2.57.118.6881: length=0, pkts=13, dt=30.248
